1: (KEYWORD, "start")
148: (RELATIONAL_OPERATOR, "lessthan")
149: (RIGHT_PARENTHESIS, ")")
150: (TWO_POINTS, ":")
151: (IDENTIFIER, "@totalNu")
152: (ASSIGN, "=")
153: (IDENTIFIER, "@totalNumbersMultiplied")
154: (OPERATOR, "*")
155: (IDENTIFIER, "@i")
156: (DELIMITER, ";")
157: (IDENTIFIER, "@i")
158: (ASSIGN, "=")
159: (IDENTIFIER, "@i")
160: (OPERATOR, "+")
161: (NUMBER, "1")
162: (DELIMITER, ";")
163: (KEYWORD, "print")
164: (LEFT_PARENTHESIS, "(")
165: (INLINE_TEXT, ""Total números pares: "")
166: (OPERATOR, "+")
167: (IDENTIFIER, "@totalPairs")
168: (RIGHT_PARENTHESIS, ")")
169: (DELIMITER, ";")
170: (LEFT_PARENTHESIS, "(")
171: (INLINE_TEXT, ""Total números inpares: "")
172: (OPERATOR, "+")
173: (IDENTIFIER, "@totalInPairs")
174: (RIGHT_PARENTHESIS, ")")
175: (DELIMITER, ";")
176: (KEYWORD, "print")
177: (LEFT_PARENTHESIS, "(")
178: (INLINE_TEXT, ""Total números múltiplos de 3: "")
179: (OPERATOR, "+")
180: (IDENTIFIER, "@totalNumbersMultiplesOf3")
181: (RIGHT_PARENTHESIS, ")")
182: (DELIMITER, ";")
183: (KEYWORD, "print")
184: (LEFT_PARENTHESIS, "(")
185: (INLINE_TEXT, ""Total de los números múltplicados del 1 al 10: "")
186: (OPERATOR, "+")
187: (IDENTIFIER, "@totalNumbersMultiplied")
188: (RIGHT_PARENTHESIS, ")")
189: (DELIMITER, ";")
190: (KEYWORD, "end")

Lista de errores:
Linea 9, Simbolo desconocido 'i' detectado.
Linea 11, Identificador inválido '@!totalPai' detectado.
Linea 11, Simbolo desconocido 'r' detectado.
Linea 11, Simbolo desconocido 's' detectado.
Linea 12, Simbolo desconocido '$' detectado.
Linea 30, Identificador inválido '@63totalNumbers' detectado.
Linea 31, Simbolo desconocido 'm' detectado.
Linea 31, Simbolo desconocido 'b' detectado.
Linea 31, Simbolo desconocido 'e' detectado.
Linea 31, Simbolo desconocido 'r' detectado.
Linea 31, Simbolo desconocido 's' detectado.
Linea 31, Simbolo desconocido 'M' detectado.
Linea 31, Simbolo desconocido 'u' detectado.
Linea 31, Simbolo desconocido 'l' detectado.
Linea 31, Simbolo desconocido 't' detectado.
Linea 31, Simbolo desconocido 'i' detectado.
Linea 31, Simbolo desconocido 'p' detectado.
Linea 31, Simbolo desconocido 'l' detectado.
Linea 31, Simbolo desconocido 'i' detectado.
Linea 31, Simbolo desconocido 'e' detectado.
Linea 31, Simbolo desconocido 'd' detectado.
Linea 32, Simbolo desconocido '.' detectado.
Linea 35, Simbolo desconocido 'p' detectado.
Linea 35, Simbolo desconocido 'r' detectado.
Linea 35, Simbolo desconocido 'i' detectado.
Linea 35, Simbolo desconocido 'n' detectado.
Linea 35, Simbolo desconocido 't' detectado.
